"source","target"
"interact","Взаимодействовать"
"remove_weapon","Убрать оружие"
"draw_weapon","Достать оружие"
"draw_weapon_melee","Ближний бой"
"draw_weapon_ranged","Дальний бой"
"draw_weapon_ranged_melee","Лук/меч"
"end_transform","Вернуть облик"
"target_lock","Захват цели"
"aim","Целиться"
"shoot","Стрелять"
"cast","Кастовать"
"attack","Атака"
"parry","Парирование"
"next_enemy","Следующая цель"
"shift","Shift"
"category_prev","Пред. категория"
"category_next","След. категория"
"confim_trade","Совершить обмен"
"drop_item","Выбросить"
"trans_item","Переместить один"
"trans_few_items","Переместить несколько"
"screen_status_log","Статус/Дневник"
"quick_menu","Быстрое меню"
"turn","Поворачивать"
"swim","Плыть"
"place_item","Поместить предмет"
"select_item","Выбрать предмет"
"remove_item","Убрать предмет"
"focus_item","Фокус"
"menu_back","Назад"
"menu_cancel","Отмена"
"on_quick_bar","В быстрый доступ"
"picklock","Использовать отмычку"
"look_around","Смотреть назад"
"settings","Настройки"
